,KG_Mc_Input
129,24.083263874053955
130,24.37001132965088
131,21.17729091644287
132,22.139776468276978
133,21.78778052330017
134,17.80005931854248
135,19.31041121482849
136,19.45974111557007
137,23.345272541046143
138,33.251798152923584
139,40.107035875320435
140,39.441274881362915
141,29.188501596450806
142,25.57040762901306
143,23.0288188457489
144,22.421592235565186
145,21.843376874923706
146,34.51720929145813
147,45.60393238067627
148,34.09349322319031
149,30.046020030975342
150,26.49995255470276
151,27.465611219406128
152,31.496363639831543
153,39.0655779838562
154,44.26588296890259
155,45.309433937072754
156,39.514822244644165
157,37.323084354400635
158,34.322587728500366
159,31.009392499923706
160,33.786540269851685
161,18.348683834075928
162,17.495097637176514
163,17.306429862976074
164,22.269351959228516
165,19.396915435791016
166,16.1289324760437
167,18.11506986618042
168,19.569830894470215
169,20.37773847579956
170,17.494220495224
171,19.229177713394165
172,18.637146472930908
173,19.887736558914185
174,20.54121160507202
175,18.181920051574707
176,18.708533763885498
177,24.54745364189148
178,38.72469115257263
179,40.897053718566895
180,33.010403871536255
181,27.28811764717102
182,23.67327046394348
183,22.782426357269287
184,22.18550205230713
185,28.616997241973877
186,25.976799249649048
187,39.61441731452942
188,34.82581806182861
189,27.561810970306396
190,25.455113410949707
191,24.233983516693115
192,30.461403131484985
193,38.137930393218994
194,40.11427974700928
195,41.9201397895813
196,36.13183546066284
197,34.95210146903992
198,32.046046018600464
199,30.076455116271973
200,15.576714038848877
201,18.032570362091064
202,18.427858114242554
203,20.46402335166931
204,23.44977617263794
205,22.180196046829224
206,20.464598417282104
207,21.386560440063477
208,21.125040292739868
209,20.87019968032837
210,21.365413188934326
211,22.092971801757812
212,22.64367985725403
213,20.803807020187378
214,21.883771181106567
215,21.492810010910034
216,21.3074209690094
217,23.962510347366333
218,35.221540212631226
219,52.766589641571045
220,36.20855116844177
221,30.000669956207275
222,26.450347423553467
223,24.4144926071167
224,23.70898175239563
225,27.89615535736084
226,39.28175640106201
227,41.87048316001892
228,37.838576793670654
229,31.130640029907227
230,27.581310510635376
231,25.83662247657776
232,29.93276572227478
233,36.64937424659729
234,44.150267362594604
235,43.04945492744446
236,40.46808433532715
237,35.86552548408508
238,34.41100549697876
239,31.60443949699402
240,23.122570514678955
241,22.735246896743774
242,19.34536337852478
243,19.7940833568573
244,23.984363079071045
245,21.3768253326416
246,21.225481748580933
247,25.72504448890686
248,22.93599772453308
249,21.603636980056763
250,21.547552585601807
251,23.10616898536682
252,24.464825868606567
253,23.00724744796753
254,23.91252088546753
255,22.032465934753418
256,20.39256763458252
257,29.012301206588745
258,42.644126176834106
259,45.705270767211914
260,35.52697467803955
261,29.14334535598755
262,25.942662000656128
263,24.24290657043457
264,27.31302523612976
265,25.22808289527893
266,43.37318181991577
267,40.785555601119995
268,37.29215884208679
269,32.22780084609985
270,27.08802318572998
271,24.219016551971436
272,31.48012900352478
273,41.95680570602417
274,44.451390981674194
